event_id,date,tournament,opponent,venue,gf,ga,player_id,sofa_player_id,name,pos,started,played,captain,minutes,rating,has_detailed_stats,aerials_lost,aerials_won,assists,clearances,crosses,crosses_accurate,dispossessed,dribbles_attempted,dribbles_won,duels_lost,duels_won,fouled,fouls,goals,high_claims,interceptions,key_passes,long_balls,long_balls_accurate,passes,passes_accurate,pens_conceded,pens_faced,pens_missed,pens_won,punches,recoveries,saves,saves_inside_box,shootout_goals,shootout_misses,shootout_saves,shots,shots_on_target,tackles,tackles_won,touches,entry_min,exit_min,gf_on,ga_on,entry_state
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,ismahila-ouedraogo,1099259,Ismahila Ouédraogo,MF,0,1,0,27,6.6,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,64,94,0,0,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,issa-kabore,1006189,Issa Kaboré,DF,1,1,0,90,7.6,1,0,1,0,0,3,0,0,5,4,1,15,2,0,0,0,2,0,1,0,22,16,0,0,0,0,0,8,0,0,0,0,0,0,0,8,5,57,0.0,94,1,1,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,issoufou-dayo,364758,Issoufou Dayo,DF,1,1,0,90,6.9,1,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,14,7,62,47,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,66,0.0,94,1,1,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,kilian-nikiema,1149858,Kilian Nikiema,GK,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,mohamed-konate,850011,Mohamed Konaté,FW,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,oula-traore,1064788,Oula Traoré,DF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,patrick-malo,867239,Patrick Malo,DF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,soumaila-ouattara,1083202,Soumaïla Ouattara,DF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,steeve-yago,174911,Steeve Yago,DF,1,1,0,90,6.6,1,2,3,0,3,1,0,0,1,1,4,9,4,2,0,0,0,0,1,0,35,27,1,0,0,0,0,9,0,0,0,0,0,0,0,1,1,60,0.0,94,1,1,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,zakaria-sanogo,843336,Zakaria Sanogo,FW,0,1,0,14,6.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,77,94,0,0,level
10054216,2022-01-23,"Africa Cup of Nations, Knockout stage",Gabon,H,1,1,abdoul-tapsoba,1000129,Abdoul Tapsoba,FW,0,1,0,31,6.2,1,0,0,0,0,1,0,1,1,1,7,2,1,6,0,0,1,0,0,0,8,6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,21,91,125,0,1,leading
10054216,2022-01-23,"Africa Cup of Nations, Knockout stage",Gabon,H,1,1,aboubacar-sawadogo,866124,Aboubacar Sawadogo,GK,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
10054216,2022-01-23,"Africa Cup of Nations, Knockout stage",Gabon,H,1,1,adama-guira,139357,Adama Guira,MF,1,1,0,120,6.7,1,1,2,0,0,1,0,1,1,1,10,9,2,2,0,0,3,1,4,2,37,32,0,0,0,0,0,10,0,0,1,0,0,3,1,4,1,57,0.0,125,1,1,level
10054216,2022-01-23,"Africa Cup of Nations, Knockout stage",Gabon,H,1,1,bertrand-traore,218160,Bertrand Traoré,FW,1,1,1,81,6.4,1,2,3,0,2,1,0,3,3,2,9,5,0,5,1,0,0,0,1,0,15,7,0,0,1,0,0,2,0,0,0,0,0,5,2,0,0,40,0.0,83,1,0,level
10054216,2022-01-23,"Africa Cup of Nations, Knockout stage",Gabon,H,1,1,blati-toure,806244,Blati Touré,MF,1,1,0,114,6,1,0,0,0,1,0,0,1,3,0,10,3,2,4,0,0,2,0,5,4,37,30,0,0,0,0,0,9,0,0,0,0,0,1,1,1,1,56,0.0,119,1,1,level
10054216,2022-01-23,"Africa Cup of Nations, Knockout stage",Gabon,H,1,1,dango-ouattara,1106451,Dango Ouattara,FW,1,1,0,89,7.6,1,0,1,1,1,1,1,0,2,1,5,9,6,1,0,0,2,2,0,0,18,11,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,36,0.0,91,1,0,level
10054216,2022-01-23,"Africa Cup of Nations, Knockout stage",Gabon,H,1,1,djibril-ouattara,971036,Djibril Ouattara,FW,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
