player_id,name,pos,tier,window_start,window_matches,team_min_window,squad_matches,starts,start_share,on_min,minutes_share,off_min,on_gd90,off_gd90,onoff_diff,gate_onoff,starts_ppg,nonstart_ppg,ppg_diff,gate_ppg,goals,assists,pens,ga90,gate_ga90,rating_avg,rated_apps,rated_min,gate_rating,pct_minutes_share,pct_onoff,pct_ppg,pct_ga90,pct_rating
hamed-blakiss-ouattara,Hamed Blakiss Ouattara,FW,marge,2024-11-14,25,2417,3,0,0.0,15,0.006,271,,,,0,,,,0,0,0,0,,0,,1,11,0,36,,,,
aboubacar-sawadogo,Aboubacar Sawadogo,GK,marge,2022-01-09,58,5656,9,0,0.0,30,0.005,893,,,,0,,,,0,0,0,0,,0,,1,16,0,35,,,,
mohamed-ali-yabre,Mohamed Ali Yabré,DF,marge,2024-09-06,29,2808,4,0,0.0,15,0.005,372,,,,0,,,,0,0,0,0,,0,,0,0,0,35,,,,
jack-diarra,Jack Diarra,FW,marge,2025-01-09,23,2226,2,0,0.0,10,0.004,179,,,,0,,,,0,0,0,0,,0,,0,0,0,34,,,,
hassim-traore,Hassim Traore,FW,marge,2024-06-06,31,2992,2,0,0.0,10,0.003,174,,,,0,,,,0,0,0,0,,0,,0,0,0,33,,,,
dramane-nikiema,Dramane Nikièma,MF,marge,2022-01-09,58,5656,5,0,0.0,2,0.0,537,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
jean-fiacre-kouame-botue,Jean Fiacre Kouamé Botué,MF,marge,2022-01-09,58,5656,3,0,0.0,0,0.0,317,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
somgogna-hermann-nikiema,Somgogna Hermann Nikiema,DF,marge,2022-01-09,58,5656,5,0,0.0,0,0.0,510,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
oula-traore,Oula Traoré,DF,marge,2022-01-13,57,5558,7,0,0.0,0,0.0,730,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
bryan-dabo,Bryan Dabo,MF,marge,2022-03-24,51,4921,1,0,0.0,0,0.0,94,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
faissal-zangre,Faissal Zangre,FW,marge,2022-03-24,51,4921,1,0,0.0,0,0.0,94,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
joffrey-bazie,Joffrey Bazié,FW,marge,2022-03-24,51,4921,3,0,0.0,0,0.0,281,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
abdel-rachid-zagre,Abdel Rachid Zagré,FW,marge,2022-03-29,50,4827,1,0,0.0,0,0.0,93,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
abou-ouattara,Abou Ouattara,MF,marge,2022-03-29,50,4827,1,0,0.0,0,0.0,93,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
nourdine-balora,Nourdine Balora,GK,marge,2022-03-29,50,4827,2,0,0.0,0,0.0,187,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
abdul-meyker-yabre,Abdul Meyker Yabre,MF,marge,2022-06-03,49,4734,2,0,0.0,0,0.0,188,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
cheick-omar-ouedraogo,Cheick Omar Ouedraogo,DF,marge,2022-06-03,49,4734,4,0,0.0,0,0.0,380,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
mohamed-ouattara,Mohamed Ouattara,FW,marge,2022-06-03,49,4734,2,0,0.0,0,0.0,188,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
hillel-konate,Hillel Konaté,GK,marge,2022-09-27,47,4546,15,0,0.0,0,0.0,1456,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
dao-cyrille,Dao Cyrille,DF,marge,2022-11-19,46,4453,3,0,0.0,0,0.0,285,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
nassim-innocenti,Nassim Innocenti,DF,marge,2023-03-24,45,4359,2,0,0.0,0,0.0,194,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
dramane-kambou,Dramane Kambou,MF,marge,2023-03-28,44,4263,1,0,0.0,0,0.0,98,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
ismael-seone,Ismaël Seone,FW,marge,2023-06-18,43,4165,1,0,0.0,0,0.0,98,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
mohamed-zegue-traore,Mohamed Zegue Traore,GK,marge,2023-06-18,43,4165,2,0,0.0,0,0.0,193,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
koula-sebastien-tou,Koula Sébastien Tou,GK,marge,2023-09-08,42,4067,2,0,0.0,0,0.0,191,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
regis-ndo,Regis Ndo,FW,marge,2024-06-06,31,2992,4,0,0.0,0,0.0,375,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
nampe-salifou-coulibaly,Nampe Salifou Coulibaly,GK,marge,2024-06-10,30,2900,1,0,0.0,0,0.0,92,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
philippe-mare,Philippe Mare,GK,marge,2024-10-13,26,2515,3,0,0.0,0,0.0,288,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
ridouanou-maiga,Ridouanou Maiga,MF,marge,2024-11-14,25,2417,3,0,0.0,0,0.0,286,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
aboubacar-sidiki-traore,Aboubacar Sidiki Traore,MF,marge,2025-01-09,23,2226,1,0,0.0,0,0.0,95,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
adolphe-belem,Adolphe Belem,FW,marge,2025-01-09,23,2226,1,0,0.0,0,0.0,95,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
alla-franck-alain-kante,Alla Franck Alain Kanté,MF,marge,2025-01-09,23,2226,1,0,0.0,0,0.0,95,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
amadou-kone,Amadou Koné,,marge,2025-01-09,23,2226,1,0,0.0,0,0.0,95,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
cheick-guel,Cheick Guel,,marge,2025-01-09,23,2226,1,0,0.0,0,0.0,95,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
honore-ye,Honoré Ye,FW,marge,2025-01-09,23,2226,1,0,0.0,0,0.0,95,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
issouf-sosso,Issouf Sosso,DF,marge,2025-01-09,23,2226,1,0,0.0,0,0.0,95,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
souleymane-massa-ouattara,Souleymane Massa Ouattara,DF,marge,2025-01-09,23,2226,1,0,0.0,0,0.0,95,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
hassane-traore,Hassane Traoré,DF,marge,2025-06-02,20,1941,1,0,0.0,0,0.0,94,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
ismaelo-ganiou,Ismaëlo Ganiou,DF,marge,2025-06-02,20,1941,1,0,0.0,0,0.0,94,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
enock-belem,Enock Belem,DF,marge,2025-08-13,16,1550,2,0,0.0,0,0.0,205,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
mathieu-konvelbo,Mathieu Konvelbo,GK,marge,2025-08-13,16,1550,2,0,0.0,0,0.0,205,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
faycal-konate,Fayçal Konaté,FW,marge,2025-09-05,14,1345,1,0,0.0,0,0.0,95,,,,0,,,,0,0,0,0,,0,,0,0,0,16,,,,
moise-kabore,Moise Kaboré,FW,,2026-03-28,4,383,3,0,0.0,0,0.0,286,,,,0,,,,0,0,0,0,,0,,0,0,0,,,,,
rachide-gnanou,Rachide Gnanou,DF,,2026-06-09,1,95,1,0,0.0,0,0.0,95,,,,0,,,,0,0,0,0,,0,,0,0,0,,,,,
