player_a,name_a,pos_a,player_b,name_b,pos_b,pair_type,matches,minutes,gf,ga,gd,gd90,gated
cyrille-bayala,Cyrille Bayala,FW,herve-koffi,Hervé Koffi,GK,GK-FW,6,407,4,2,2,0.44,1
issa-kabore,Issa Kaboré,DF,josue-tiendrebeogo,Josué Tiendrébéogo,MF,DF-MF,7,402,12,3,9,2.01,1
josue-tiendrebeogo,Josué Tiendrébéogo,MF,saidou-simpore,Saïdou Simporé,DF,DF-MF,7,394,12,3,9,2.06,1
ismahila-ouedraogo,Ismahila Ouédraogo,MF,mohamed-konate,Mohamed Konaté,FW,MF-FW,8,392,4,4,0,0.0,1
adamo-nagalo,Adamo Nagalo,DF,bertrand-traore,Bertrand Traoré,FW,DF-FW,8,391,11,4,7,1.61,1
adamo-nagalo,Adamo Nagalo,DF,cedric-badolo,Cedric Badolo,MF,DF-MF,8,387,7,5,2,0.47,1
lassina-traore,Lassina Traoré,FW,nasser-djiga,Nasser Djiga,DF,DF-FW,5,384,7,7,0,0.0,1
nasser-djiga,Nasser Djiga,DF,steeve-yago,Steeve Yago,DF,DF-DF,5,381,4,8,-4,-0.94,1
blati-toure,Blati Touré,MF,kilian-nikiema,Kilian Nikiema,GK,GK-MF,6,379,6,6,0,0.0,1
herve-koffi,Hervé Koffi,GK,josue-tiendrebeogo,Josué Tiendrébéogo,MF,GK-MF,6,378,14,3,11,2.62,1
mohamed-konate,Mohamed Konaté,FW,saidou-simpore,Saïdou Simporé,DF,DF-FW,13,377,6,5,1,0.24,1
bertrand-traore,Bertrand Traoré,FW,mohamed-konate,Mohamed Konaté,FW,FW-FW,10,374,3,3,0,0.0,1
bertrand-traore,Bertrand Traoré,FW,cedric-badolo,Cedric Badolo,MF,MF-FW,10,372,6,6,0,0.0,1
hassane-bande,Hassane Bandé,FW,nasser-djiga,Nasser Djiga,DF,DF-FW,6,371,5,6,-1,-0.24,1
abdoul-tapsoba,Abdoul Tapsoba,FW,adama-guira,Adama Guira,MF,MF-FW,8,370,5,4,1,0.24,1
cyriaque-irie,Cyriaque Irié,FW,edmond-tapsoba,Edmond Tapsoba,DF,DF-FW,7,368,7,3,4,0.98,1
cyriaque-irie,Cyriaque Irié,FW,saidou-simpore,Saïdou Simporé,DF,DF-FW,7,368,7,3,4,0.98,1
dango-ouattara,Dango Ouattara,FW,mohamed-ouedraogo,Mohamed Ouédraogo,DF,DF-FW,6,367,7,7,0,0.0,1
issa-kabore,Issa Kaboré,DF,sacha-banse,Sacha Bansé,MF,DF-MF,6,364,7,4,3,0.74,1
arsene-kouassi,Arsène Kouassi,DF,issoufou-dayo,Issoufou Dayo,DF,DF-DF,4,361,3,5,-2,-0.5,1
issoufou-dayo,Issoufou Dayo,DF,josue-tiendrebeogo,Josué Tiendrébéogo,MF,DF-MF,7,360,13,5,8,2.0,1
bertrand-traore,Bertrand Traoré,FW,farid-ouedraogo,Farid Ouédraogo,GK,GK-FW,5,359,10,8,2,0.5,1
herve-koffi,Hervé Koffi,GK,mohamed-zougrana,Mohamed Zougrana,MF,GK-MF,5,358,7,3,4,1.01,1
edmond-tapsoba,Edmond Tapsoba,DF,georgi-minoungou,Georgi Minoungou,FW,DF-FW,9,357,8,5,3,0.76,1
cyriaque-irie,Cyriaque Irié,FW,herve-koffi,Hervé Koffi,GK,GK-FW,7,355,7,3,4,1.01,1
bertrand-traore,Bertrand Traoré,FW,mohamed-zougrana,Mohamed Zougrana,MF,MF-FW,5,354,7,1,6,1.53,1
issoufou-dayo,Issoufou Dayo,DF,mohamed-zougrana,Mohamed Zougrana,MF,DF-MF,5,354,7,1,6,1.53,1
arsene-kouassi,Arsène Kouassi,DF,saidou-simpore,Saïdou Simporé,DF,DF-DF,6,352,4,7,-3,-0.77,1
lassina-traore,Lassina Traoré,FW,mohamed-ouedraogo,Mohamed Ouédraogo,DF,DF-FW,5,351,10,5,5,1.28,1
adama-guira,Adama Guira,MF,hassane-bande,Hassane Bandé,FW,MF-FW,6,350,4,3,1,0.26,1
edmond-tapsoba,Edmond Tapsoba,DF,soumaila-ouattara,Soumaïla Ouattara,DF,DF-DF,3,350,5,4,1,,0
issa-kabore,Issa Kaboré,DF,soumaila-ouattara,Soumaïla Ouattara,DF,DF-DF,3,350,5,4,1,,0
soumaila-ouattara,Soumaïla Ouattara,DF,steeve-yago,Steeve Yago,DF,DF-DF,3,350,5,4,1,,0
abdoul-tapsoba,Abdoul Tapsoba,FW,bertrand-traore,Bertrand Traoré,FW,FW-FW,9,348,8,7,1,0.26,1
blati-toure,Blati Touré,MF,lassina-traore,Lassina Traoré,FW,MF-FW,8,347,9,4,5,1.3,1
nasser-djiga,Nasser Djiga,DF,sacha-banse,Sacha Bansé,MF,DF-MF,4,345,4,6,-2,-0.52,1
blati-toure,Blati Touré,MF,soumaila-ouattara,Soumaïla Ouattara,DF,DF-MF,3,344,5,4,1,,0
mohamed-zougrana,Mohamed Zougrana,MF,steeve-yago,Steeve Yago,DF,DF-MF,5,343,7,2,5,1.31,1
bertrand-traore,Bertrand Traoré,FW,stephane-aziz-ki,Stephane Aziz Ki,MF,MF-FW,8,338,6,3,3,0.8,1
mohamed-ouedraogo,Mohamed Ouédraogo,DF,sacha-banse,Sacha Bansé,MF,DF-MF,5,333,9,5,4,1.08,1
adama-guira,Adama Guira,MF,cedric-badolo,Cedric Badolo,MF,MF-MF,4,330,2,4,-2,-0.55,1
dango-ouattara,Dango Ouattara,FW,sacha-banse,Sacha Bansé,MF,MF-FW,6,329,7,7,0,0.0,1
josue-tiendrebeogo,Josué Tiendrébéogo,MF,steeve-yago,Steeve Yago,DF,DF-MF,6,328,9,6,3,0.82,1
adama-guira,Adama Guira,MF,mohamed-konate,Mohamed Konaté,FW,MF-FW,7,327,0,1,-1,-0.28,1
cyrille-bayala,Cyrille Bayala,FW,hassane-bande,Hassane Bandé,FW,FW-FW,5,325,3,1,2,0.55,1
herve-koffi,Hervé Koffi,GK,nasser-djiga,Nasser Djiga,DF,GK-DF,5,322,6,5,1,0.28,1
issa-kabore,Issa Kaboré,DF,nasser-djiga,Nasser Djiga,DF,DF-DF,5,322,6,5,1,0.28,1
hassane-bande,Hassane Bandé,FW,mohamed-konate,Mohamed Konaté,FW,FW-FW,11,320,1,3,-2,-0.56,1
bertrand-traore,Bertrand Traoré,FW,saidou-simpore,Saïdou Simporé,DF,DF-FW,9,320,6,2,4,1.12,1
cedric-badolo,Cedric Badolo,MF,kilian-nikiema,Kilian Nikiema,GK,GK-MF,5,313,8,6,2,0.58,1
gustavo-sangare,Gustavo Sangaré,MF,soumaila-ouattara,Soumaïla Ouattara,DF,DF-MF,3,309,5,3,2,,0
bertrand-traore,Bertrand Traoré,FW,lassina-traore,Lassina Traoré,FW,FW-FW,7,304,10,1,9,2.66,1
edmond-tapsoba,Edmond Tapsoba,DF,nasser-djiga,Nasser Djiga,DF,DF-DF,4,304,5,5,0,0.0,1
cedric-badolo,Cedric Badolo,MF,gustavo-sangare,Gustavo Sangaré,MF,MF-MF,7,302,6,5,1,0.3,1
issoufou-dayo,Issoufou Dayo,DF,sacha-banse,Sacha Bansé,MF,DF-MF,5,301,4,6,-2,-0.6,1
farid-ouedraogo,Farid Ouédraogo,GK,lassina-traore,Lassina Traoré,FW,GK-FW,4,301,5,5,0,0.0,1
issoufou-dayo,Issoufou Dayo,DF,kilian-nikiema,Kilian Nikiema,GK,GK-DF,4,297,5,4,1,0.3,1
issa-kabore,Issa Kaboré,DF,mohamed-zougrana,Mohamed Zougrana,MF,DF-MF,4,297,6,2,4,1.21,1
issa-kabore,Issa Kaboré,DF,stephane-aziz-ki,Stephane Aziz Ki,MF,DF-MF,6,294,4,2,2,0.61,1
edmond-tapsoba,Edmond Tapsoba,DF,mohamed-zougrana,Mohamed Zougrana,MF,DF-MF,5,294,4,1,3,0.92,1
georgi-minoungou,Georgi Minoungou,FW,issoufou-dayo,Issoufou Dayo,DF,DF-FW,8,293,8,3,5,1.54,1
