scope,scope_value,side,matches,axis,value,n,coverage_pct
formation,4-2-3-1,opp,14,shots_per_match,11.4,14,100.0
formation,4-2-3-1,opp,14,shots_on_target_share,32.1,14,100.0
formation,4-2-3-1,opp,14,shots_inside_box_share,54.1,14,100.0
formation,4-2-3-1,opp,14,big_chances_per_match,1.9,14,100.0
formation,4-2-3-1,opp,14,crosses_per_match,15.4,14,100.0
formation,4-2-3-1,opp,14,dribbles_per_match,17.2,14,100.0
formation,4-2-3-1,opp,14,dribble_success,49.0,14,100.0
formation,4-2-3-1,opp,14,aerial_win,47.0,14,100.0
formation,4-2-3-1,opp,14,ground_duel_win,49.6,14,100.0
formation,4-2-3-1,opp,14,tackles_per_match,15.7,14,100.0
formation,4-2-3-1,opp,14,interceptions_per_match,9.4,14,100.0
formation,4-2-3-1,opp,14,clearances_per_match,19.9,14,100.0
formation,4-2-3-1,opp,14,corners_per_match,4.9,14,100.0
formation,4-2-3-1,opp,14,fouls_per_match,14.8,14,100.0
formation,4-3-3,bf,10,possession,54.7,10,100.0
formation,4-3-3,bf,10,pass_accuracy,82.9,10,100.0
formation,4-3-3,bf,10,passes_per_match,418.4,10,100.0
formation,4-3-3,bf,10,long_ball_share,13.2,10,100.0
formation,4-3-3,bf,10,long_ball_accuracy,51.1,10,100.0
formation,4-3-3,bf,10,shots_per_match,12.6,10,100.0
formation,4-3-3,bf,10,shots_on_target_share,34.1,10,100.0
formation,4-3-3,bf,10,shots_inside_box_share,65.1,10,100.0
formation,4-3-3,bf,10,big_chances_per_match,2.9,10,100.0
formation,4-3-3,bf,10,crosses_per_match,17.8,10,100.0
formation,4-3-3,bf,10,dribbles_per_match,14.6,10,100.0
formation,4-3-3,bf,10,dribble_success,58.2,10,100.0
formation,4-3-3,bf,10,aerial_win,53.6,10,100.0
formation,4-3-3,bf,10,ground_duel_win,51.4,10,100.0
formation,4-3-3,bf,10,tackles_per_match,13.9,10,100.0
formation,4-3-3,bf,10,interceptions_per_match,6.0,10,100.0
formation,4-3-3,bf,10,clearances_per_match,12.7,10,100.0
formation,4-3-3,bf,10,corners_per_match,5.3,10,100.0
formation,4-3-3,bf,10,fouls_per_match,15.1,10,100.0
formation,4-3-3,opp,10,possession,45.3,10,100.0
formation,4-3-3,opp,10,pass_accuracy,80.2,10,100.0
formation,4-3-3,opp,10,passes_per_match,351.1,10,100.0
formation,4-3-3,opp,10,long_ball_share,15.9,10,100.0
formation,4-3-3,opp,10,long_ball_accuracy,42.6,10,100.0
formation,4-3-3,opp,10,shots_per_match,11.5,10,100.0
formation,4-3-3,opp,10,shots_on_target_share,32.2,10,100.0
formation,4-3-3,opp,10,shots_inside_box_share,45.2,10,100.0
formation,4-3-3,opp,10,big_chances_per_match,1.7,10,100.0
formation,4-3-3,opp,10,crosses_per_match,12.8,10,100.0
formation,4-3-3,opp,10,dribbles_per_match,11.6,10,100.0
formation,4-3-3,opp,10,dribble_success,46.6,10,100.0
formation,4-3-3,opp,10,aerial_win,46.4,10,100.0
formation,4-3-3,opp,10,ground_duel_win,48.6,10,100.0
formation,4-3-3,opp,10,tackles_per_match,15.6,10,100.0
formation,4-3-3,opp,10,interceptions_per_match,8.4,10,100.0
formation,4-3-3,opp,10,clearances_per_match,18.9,10,100.0
formation,4-3-3,opp,10,corners_per_match,2.7,10,100.0
formation,4-3-3,opp,10,fouls_per_match,16.2,10,100.0
year,2022,bf,9,possession,46.2,9,100.0
year,2022,bf,9,pass_accuracy,78.6,9,100.0
year,2022,bf,9,passes_per_match,351.2,9,100.0
year,2022,bf,9,long_ball_share,15.8,9,100.0
year,2022,bf,9,long_ball_accuracy,46.7,9,100.0
year,2022,bf,9,shots_per_match,11.0,9,100.0
year,2022,bf,9,shots_on_target_share,37.4,9,100.0
year,2022,bf,9,shots_inside_box_share,57.6,9,100.0
year,2022,bf,9,big_chances_per_match,2.0,9,100.0
year,2022,bf,9,crosses_per_match,13.7,9,100.0
year,2022,bf,9,dribbles_per_match,18.4,9,100.0
year,2022,bf,9,dribble_success,57.2,9,100.0
year,2022,bf,9,aerial_win,51.1,9,100.0
year,2022,bf,9,ground_duel_win,51.0,9,100.0
year,2022,bf,9,tackles_per_match,16.7,9,100.0
year,2022,bf,9,interceptions_per_match,9.6,9,100.0
year,2022,bf,9,clearances_per_match,15.3,9,100.0
year,2022,bf,9,corners_per_match,4.7,9,100.0
year,2022,bf,9,fouls_per_match,18.2,9,100.0
year,2022,opp,9,possession,53.8,9,100.0
year,2022,opp,9,pass_accuracy,81.6,9,100.0
year,2022,opp,9,passes_per_match,401.1,9,100.0
year,2022,opp,9,long_ball_share,14.7,9,100.0
year,2022,opp,9,long_ball_accuracy,49.0,9,100.0
year,2022,opp,9,shots_per_match,13.4,9,100.0
year,2022,opp,9,shots_on_target_share,29.8,9,100.0
year,2022,opp,9,shots_inside_box_share,49.6,9,100.0
year,2022,opp,9,big_chances_per_match,2.0,9,100.0
year,2022,opp,9,crosses_per_match,19.8,9,100.0
year,2022,opp,9,dribbles_per_match,17.9,9,100.0
year,2022,opp,9,dribble_success,47.2,9,100.0
year,2022,opp,9,aerial_win,48.9,9,100.0
year,2022,opp,9,ground_duel_win,49.0,9,100.0
year,2022,opp,9,tackles_per_match,15.8,9,100.0
year,2022,opp,9,interceptions_per_match,8.4,9,100.0
year,2022,opp,9,clearances_per_match,12.7,9,100.0
year,2022,opp,9,corners_per_match,5.8,9,100.0
year,2022,opp,9,fouls_per_match,16.2,9,100.0
year,2024,bf,10,possession,49.1,10,100.0
year,2024,bf,10,pass_accuracy,79.7,10,100.0
year,2024,bf,10,passes_per_match,355.6,10,100.0
year,2024,bf,10,long_ball_share,14.8,10,100.0
year,2024,bf,10,long_ball_accuracy,46.0,10,100.0
year,2024,bf,10,shots_per_match,12.2,10,100.0
year,2024,bf,10,shots_on_target_share,39.3,10,100.0
year,2024,bf,10,shots_inside_box_share,65.6,10,100.0
year,2024,bf,10,big_chances_per_match,2.9,10,100.0
year,2024,bf,10,crosses_per_match,17.7,10,100.0
year,2024,bf,10,dribbles_per_match,13.3,10,100.0
year,2024,bf,10,dribble_success,48.9,10,100.0
year,2024,bf,10,aerial_win,50.2,10,100.0
year,2024,bf,10,ground_duel_win,49.5,10,100.0
year,2024,bf,10,tackles_per_match,15.6,10,100.0
year,2024,bf,10,interceptions_per_match,6.3,10,100.0
year,2024,bf,10,recoveries_per_match,48.5,10,100.0
year,2024,bf,10,clearances_per_match,12.6,10,100.0
year,2024,bf,10,corners_per_match,5.1,10,100.0
year,2024,bf,10,fouls_per_match,14.8,10,100.0
year,2024,opp,10,possession,50.9,10,100.0
year,2024,opp,10,pass_accuracy,80.0,10,100.0
year,2024,opp,10,passes_per_match,371.1,10,100.0
year,2024,opp,10,long_ball_share,16.9,10,100.0
year,2024,opp,10,long_ball_accuracy,41.2,10,100.0
year,2024,opp,10,shots_per_match,11.9,10,100.0
year,2024,opp,10,shots_on_target_share,35.3,10,100.0
year,2024,opp,10,shots_inside_box_share,50.4,10,100.0
year,2024,opp,10,big_chances_per_match,1.7,10,100.0
year,2024,opp,10,crosses_per_match,11.1,10,100.0
year,2024,opp,10,dribbles_per_match,13.6,10,100.0
year,2024,opp,10,dribble_success,44.1,10,100.0
year,2024,opp,10,aerial_win,49.8,10,100.0
year,2024,opp,10,ground_duel_win,50.4,10,100.0
year,2024,opp,10,tackles_per_match,16.6,10,100.0
year,2024,opp,10,interceptions_per_match,8.2,10,100.0
year,2024,opp,10,recoveries_per_match,48.9,10,100.0
year,2024,opp,10,clearances_per_match,20.4,10,100.0
year,2024,opp,10,corners_per_match,2.9,10,100.0
year,2024,opp,10,fouls_per_match,15.1,10,100.0
year,2025,bf,8,possession,50.2,8,100.0
year,2025,bf,8,pass_accuracy,78.0,8,100.0
year,2025,bf,8,passes_per_match,361.5,8,100.0
year,2025,bf,8,long_ball_share,16.2,8,100.0
year,2025,bf,8,long_ball_accuracy,48.3,8,100.0
year,2025,bf,8,shots_per_match,14.4,8,100.0
